"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00023293","1998-07","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","3.3","3,W","","","61.7","3,W","0","3,W","0","3,W","0","3,W","","","","","0","3,W","0","3,W","0","3,W","28","3,W","4","3,W","","","","","19980705",",3,W","","","","","","","19980731","+,3,W","19980718","+,3,W","11.7","3,W,05,","","","","","0.0","3,,W,31,+","33.9","3,W,18,+","1.7","W","1.7","3,W","0.0","3,,,W","","","","","","","","","20.48","3,W","26.53","3,,,W","14.42","3,,,W","","","340","3,W","330","3,W","9.4","3,W","10.3","3,W"
"USW00023293","1998-08","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.9",",W","","","107.9",",W","0",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","31",",W","8",",W","","","","","19980821",",,W","","","","","","","19980831","+,,W","19980804","+,,W","11.1",",W,21,","","","","","0.0",",,W,31,+","37.2",",W,04,+","2.9","W","1.2",",W","0.0",",,,W","","","","","","","","","21.78",",W","29.01",",,,W","14.54",",,,W","","","340",",W","340",",W","9.4",",W","10.7",",W"
"USW00023293","1998-09","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.9",",W","","","75.3",",W","3",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","26",",W","5",",W","","","","","19980927",",,W","","","","","","","19980926",",,W","19980907",",,W","10.0",",W,27,","","","","","0.8",",,W,26,","34.4",",W,07,","15.7","W","12.8",",W","1.4",",,,W","","","","","","","","","20.42",",W","26.41",",,,W","14.42",",,,W","","","220",",W","230",",W","10.7",",W","13.0",",W"
"USW00023293","1998-10","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.6","1,W","","","3.9","1,W","2",",W","1",",W","0",",W","","","","","0","1,W","0","1,W","0","1,W","20","1,W","0","1,W","","","","","19981031","+,1,W","","","","","","","19981024",",,W","19981006",",1,W","6.1","1,W,31,+","","","","","13.7",",,W,24,","31.1","1,W,06,","92.5","W","76.8","1,W","14.0",",,,W","","","","","","","","","15.90","1,W","22.59","1,,,W","9.22","1,,,W","","","360","1,W","20",",W","10.3","1,W","12.5",",W"
"USW00023293","1998-11","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.9",",W","","","0.0",",W","13",",W","5",",W","0",",W","","","","","0",",W","0",",W","0",",W","2",",W","0",",W","","","","","19981120",",,W","","","","","","","19981130",",,W","19981126","+,,W","3.3",",W,20,","","","","","18.3",",,W,30,","21.1",",W,26,+","271.4","W","178.9",",W","46.7",",,,W","","","","","","","","","12.37",",W","17.08",",,,W","7.66",",,,W","","","130",",W","130",",W","11.6",",W","15.2",",W"
"USW00023293","1998-12","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.3",",W","","","0.0",",W","6",",W","1",",W","0",",W","","","","","0",",W","6",",W","0",",W","2",",W","0",",W","","","","","19981224",",,W","","","","","","","19981213",",,W","19981216",",,W","-4.4",",W,24,","","","","","2.5",",,W,13,","22.2",",W,16,","599.8","W","328.4",",W","6.9",",,,W","","","","","","","","","7.74",",W","13.33",",,,W","2.15",",,,W","","","300",",W","310",",W","14.8",",W","17.4",",W"
"USW00023293","1999-01","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.3",",W","0.0","W","0.0",",W","10",",W","6",",W","0",",W","","","","","0",",W","2",",W","0",",W","0",",W","0",",W","","","","","19990124","+,,W","","","","","","","19990118",",,W","19990117","+,,W","0.0",",W,24,+","","","","","19.3",",,W,18,","18.3",",W,17,+","874.3","W","274.5",",W","70.4",",,,W","","","","","","","","","9.48",",W","14.65",",,,W","4.31",",,,W","","","310",",W","210",",W","10.3",",W","13.0",",W"
"USW00023293","1999-02","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.8",",W","0.0","W","0.0",",W","14",",W","9",",W","0",",W","","","","","0",",W","1",",W","0",",W","1",",W","0",",W","","","","","19990211",",,W","","","","","","","19990209",",,W","19990228",",,W","-0.6",",W,11,","","","","","16.8",",,W,09,","21.1",",W,28,","1105.9","W","231.6",",W","66.1",",,,W","","","","","","","","","10.06",",W","15.11",",,,W","5.01",",,,W","","","180",",W","190",",W","14.3",",W","17.9",",W"
"USW00023293","1999-03","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","3.4",",W","0.0","W","0.0",",W","13",",W","5",",W","0",",W","","","","","0",",W","0",",W","0",",W","1",",W","0",",W","","","","","19990328",",,W","","","","","","","19990314",",,W","19990302",",,W","1.7",",W,28,","","","","","15.2",",,W,14,","22.2",",W,02,","1338.7","W","232.8",",W","41.3",",,,W","","","","","","","","","10.82",",W","15.57",",,,W","6.07",",,,W","","","140",",W","140",",W","12.5",",W","14.8",",W"
"USW00023293","1999-04","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","4.0",",W","7.5","W","7.5",",W","5",",W","4",",W","0",",W","","","","","0",",W","0",",W","0",",W","12",",W","0",",W","","","","","19990409",",,W","","","","","","","19990408","+,,W","19990416",",,W","2.2",",W,09,","","","","","10.4",",,W,08,+","31.7",",W,16,","1493.5","W","154.8",",W","36.8",",,,W","","","","","","","","","13.42",",W","19.11",",,,W","7.73",",,,W","","","310",",W","330",",W","16.1",",W","20.6",",W"
"USW00023293","1999-05","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","4.0",",W","7.8","W","0.3",",W","2",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","12",",W","0",",W","","","","","19990508",",,W","","","","","","","19990503","+,,W","19990522",",,W","5.6",",W,08,","","","","","0.3",",,W,03,+","26.1",",W,22,","1608.0","W","114.5",",W","0.6",",,,W","","","","","","","","","14.65",",W","20.21",",,,W","9.09",",,,W","","","320",",W","330",",W","11.2",",W","13.4",",W"
"USW00023293","1999-06","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","3.5",",W","37.5","W","29.7",",W","2",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","24",",W","3",",W","","","","","19990608",",,W","","","","","","","19990603",",,W","19990630",",,W","7.2",",W,08,","","","","","1.8",",,W,03,","34.4",",W,30,","1653.5","W","45.5",",W","2.1",",,,W","","","","","","","","","17.81",",W","23.96",",,,W","11.65",",,,W","","","210",",W","210",",W","11.2",",W","14.3",",W"
"USW00023293","1999-07","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","3.5",",W","85.0","W","47.5",",W","0",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","3",",W","","","","","19990704",",,W","","","","","","","19990731","+,,W","19990712",",,W","10.0",",W,04,","","","","","0.0",",,W,31,+","35.6",",W,12,","11.2","W","11.2",",W","0.0",",,,W","","","","","","","","","19.50",",W","25.31",",,,W","13.70",",,,W","","","330",",W","320",",W","10.3",",W","12.5",",W"
"USW00023293","1999-08","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","3.2",",W","135.7","W","50.7",",W","1",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","28",",W","3",",W","","","","","19990815",",,W","","","","","","","19990803",",,W","19990822",",,W","10.6",",W,15,","","","","","1.5",",,W,03,","35.6",",W,22,","16.5","W","5.3",",W","1.5",",,,W","","","","","","","","","19.80",",W","25.27",",,,W","14.33",",,,W","","","330",",W","320",",W","10.3",",W","12.5",",W"
"USW00023293","1999-09","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.7",",W","184.8","W","49.1",",W","3",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","5",",W","","","","","19990901",",,W","","","","","","","19990922",",,W","19990926",",,W","10.6",",W,01,","","","","","0.8",",,W,22,","35.0",",W,26,","19.9","W","3.4",",W","1.4",",,,W","","","","","","","","","19.85",",W","26.17",",,,W","13.54",",,,W","","","350",",W","330",",W","10.3",",W","11.6",",W"
"USW00023293","1999-10","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.2",",W","214.8","W","30.0",",W","2",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","28",",W","1",",W","","","","","19991030","+,,W","","","","","","","19991028",",,W","19991010",",,W","7.2",",W,30,+","","","","","1.3",",,W,28,","32.8",",W,10,","54.9","W","35.0",",W","1.6",",,,W","","","","","","","","","18.17",",W","25.27",",,,W","11.07",",,,W","","","180",",W","200",",W","10.7",",W","13.9",",W"
"USW00023293","1999-11","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.6",",W","214.8","W","0.0",",W","9",",W","4",",W","0",",W","","","","","0",",W","0",",W","0",",W","10",",W","0",",W","","","","","19991124","+,,W","","","","","","","19991107",",,W","19991101",",,W","3.9",",W,24,+","","","","","8.4",",,W,07,","27.2",",W,01,","184.1","W","129.2",",W","28.8",",,,W","","","","","","","","","14.03",",W","19.12",",,,W","8.93",",,,W","","","110",",W","120",",W","13.0",",W","16.1",",W"
"USW00023293","1999-12","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.1",",W","214.8","W","0.0",",W","5",",W","1",",W","0",",W","","","","","0",",W","0",",W","0",",W","3",",W","0",",W","","","","","19991216",",,W","","","","","","","19991209",",,W","19991220",",,W","1.1",",W,16,","","","","","9.1",",,W,09,","23.9",",W,20,","439.8","W","255.7",",W","11.4",",,,W","","","","","","","","","10.08",",W","16.31",",,,W","3.85",",,,W","","","340",",W","330",",W","10.7",",W","13.4",",W"
"USW00023293","2000-01","37.35938","-121.92444","15.0","SAN JOSE, CA US","","","","","","","","","2.5",",W","0.0","0","0.0",",W","11",",W","8",",W","2",",W","","","","","0",",W","0",",W","0",",W","1",",W","0",",W","","","","","20000106","+,,W","","","","","","","20000124",",,W","20000115",",,W","1.7",",W,06,+","","","","","44.7",",,W,24,","21.1",",W,15,","657.0","0","217.2",",W","121.7",",,,W","","","","","","","","","11.33",",W","15.46",",,,W","7.19",",,,W","","","130",",W","140",",W","12.5",",W","14.8",",W"
