DATE,TMIN,TMAX,TAVG,HEAT_CLASS,is_hot_day,heatwave_3d,HEATWAVE_EVENT
1998-07-01,14.42,26.53,20.48,0,False,False,0
1998-08-01,14.54,29.01,21.78,1,True,False,0
1998-09-01,14.42,26.41,20.42,0,False,False,0
1998-10-01,9.22,22.59,15.9,0,False,False,0
1998-11-01,7.66,17.08,12.37,0,False,False,0
1998-12-01,2.15,13.33,7.74,0,False,False,0
1999-01-01,4.31,14.65,9.48,0,False,False,0
1999-02-01,5.01,15.11,10.06,0,False,False,0
1999-03-01,6.07,15.57,10.82,0,False,False,0
1999-04-01,7.73,19.11,13.42,0,False,False,0
1999-05-01,9.09,20.21,14.65,0,False,False,0
1999-06-01,11.65,23.96,17.81,0,False,False,0
1999-07-01,13.7,25.31,19.5,0,False,False,0
1999-08-01,14.33,25.27,19.8,0,False,False,0
1999-09-01,13.54,26.17,19.85,0,False,False,0
1999-10-01,11.07,25.27,18.17,0,False,False,0
1999-11-01,8.93,19.12,14.03,0,False,False,0
1999-12-01,3.85,16.31,10.08,0,False,False,0
2000-01-01,7.19,15.46,11.33,0,False,False,0
2000-02-01,7.87,16.14,12.01,0,False,False,0
2000-03-01,7.51,18.1,12.81,0,False,False,0
2000-04-01,9.74,20.72,15.23,0,False,False,0
2000-05-01,11.74,23.09,17.41,0,False,False,0
2000-06-01,13.59,26.05,19.82,0,False,False,0
2000-07-01,13.33,25.37,19.35,0,False,False,0
2000-08-01,14.35,26.86,20.61,0,False,False,0
2000-09-01,13.96,27.63,20.8,0,False,False,0
2000-10-01,11.74,21.54,16.64,0,False,False,0
2000-11-01,5.74,16.46,11.1,0,False,False,0
2000-12-01,5.35,15.76,10.55,0,False,False,0
2001-01-01,3.52,14.3,8.91,0,False,False,0
2001-02-01,6.04,15.12,10.58,0,False,False,0
2001-03-01,8.3,19.48,13.89,0,False,False,0
2001-04-01,6.86,18.3,12.58,0,False,False,0
2001-05-01,12.53,27.18,19.86,0,False,False,0
2001-06-01,13.2,27.1,20.15,0,False,False,0
2001-07-01,13.9,25.86,19.88,0,False,False,0
2001-08-01,13.95,26.06,20.0,0,False,False,0
2001-09-01,13.22,25.54,19.38,0,False,False,0
2001-10-01,12.2,24.24,18.22,0,False,False,0
2001-11-01,8.88,18.81,13.85,0,False,False,0
2001-12-01,6.79,14.33,10.56,0,False,False,0
2002-01-01,3.7,13.42,8.56,0,False,False,0
2002-02-01,6.21,17.47,11.84,0,False,False,0
2002-03-01,6.41,17.99,12.2,0,False,False,0
2002-04-01,9.42,19.99,14.71,0,False,False,0
2002-05-01,10.25,22.27,16.26,0,False,False,0
2002-06-01,12.78,25.72,19.25,0,False,False,0
2002-07-01,14.38,27.4,20.89,0,False,False,0
2002-08-01,14.54,27.13,20.83,0,False,False,0
2002-09-01,14.57,27.48,21.03,0,False,False,0
2002-10-01,11.58,23.22,17.4,0,False,False,0
2002-11-01,8.38,19.73,14.06,0,False,False,0
2002-12-01,7.25,15.29,11.27,0,False,False,0
2003-01-01,8.34,17.1,12.72,0,False,False,0
2003-02-01,5.88,16.41,11.14,0,False,False,0
2003-03-01,7.98,18.78,13.38,0,False,False,0
2003-04-01,8.03,17.39,12.71,0,False,False,0
2003-05-01,11.01,22.58,16.8,0,False,False,0
2003-06-01,13.54,25.84,19.69,0,False,False,0
2003-07-01,14.75,27.96,21.36,0,False,False,0
2003-08-01,15.18,26.77,20.98,0,False,False,0
2003-09-01,14.88,27.39,21.14,0,False,False,0
2003-10-01,11.98,25.28,18.63,0,False,False,0
2003-11-01,7.16,16.87,12.02,0,False,False,0
2003-12-01,6.9,14.95,10.93,0,False,False,0
2004-01-01,6.09,13.79,9.94,0,False,False,0
2004-02-01,6.38,15.62,11.0,0,False,False,0
2004-03-01,9.26,21.95,15.61,0,False,False,0
2004-04-01,10.03,22.51,16.27,0,False,False,0
2004-05-01,11.35,23.08,17.22,0,False,False,0
2004-06-01,13.25,24.98,19.12,0,False,False,0
2004-07-01,14.83,26.68,20.76,0,False,False,0
2004-08-01,15.49,27.21,21.35,0,False,False,0
2004-09-01,13.97,28.21,21.09,0,False,False,0
2004-10-01,11.34,21.99,16.66,0,False,False,0
2004-11-01,7.41,17.34,12.37,0,False,False,0
2004-12-01,5.57,15.58,10.57,0,False,False,0
2005-01-01,5.06,13.79,9.42,0,False,False,0
2005-02-01,8.03,16.75,12.39,0,False,False,0
2005-03-01,9.1,19.72,14.41,0,False,False,0
2005-04-01,8.37,19.54,13.96,0,False,False,0
2005-05-01,11.86,22.63,17.24,0,False,False,0
2005-06-01,12.96,24.33,18.64,0,False,False,0
2005-07-01,15.05,28.02,21.54,0,False,False,0
2005-08-01,14.4,27.41,20.91,0,False,False,0
2005-09-01,12.66,24.74,18.7,0,False,False,0
2005-10-01,11.22,23.38,17.3,0,False,False,0
2005-11-01,8.14,20.2,14.17,0,False,False,0
2005-12-01,7.46,16.45,11.95,0,False,False,0
2006-01-01,5.78,15.77,10.78,0,False,False,0
2006-02-01,5.83,17.75,11.79,0,False,False,0
2006-03-01,6.26,14.95,10.6,0,False,False,0
2006-04-01,9.13,18.43,13.78,0,False,False,0
2006-05-01,11.59,23.88,17.74,0,False,False,0
2006-06-01,14.31,26.67,20.49,0,False,False,0
